"filename", "language", "TypeScript React", "CSS", "Markdown", "TypeScript", "comment", "blank", "total"
"/Users/junioradessu/Documents/ambient-ts-app/src/pages/Trade/Reposition/Reposition.tsx", "TypeScript React", 31, 0, 0, 0, 1, 4, 36
"/Users/junioradessu/Documents/ambient-ts-app/src/pages/Trade/TRADE.md", "Markdown", 0, 0, 8, 0, 0, 4, 12
"/Users/junioradessu/Documents/ambient-ts-app/src/pages/Trade/Trade.module.css", "CSS", 0, 250, 0, 0, 41, 53, 344
"/Users/junioradessu/Documents/ambient-ts-app/src/pages/Trade/Trade.test.tsx", "TypeScript React", 8, 0, 0, 0, 0, 3, 11
"/Users/junioradessu/Documents/ambient-ts-app/src/pages/Trade/Trade.tsx", "TypeScript React", 491, 0, 0, 0, 22, 33, 546
"/Users/junioradessu/Documents/ambient-ts-app/src/pages/Trade/TradeCharts/TradeCandleStickChart.css", "CSS", 0, 59, 0, 0, 3, 13, 75
"/Users/junioradessu/Documents/ambient-ts-app/src/pages/Trade/TradeCharts/TradeCandleStickChart.tsx", "TypeScript React", 230, 0, 0, 0, 11, 34, 275
"/Users/junioradessu/Documents/ambient-ts-app/src/pages/Trade/TradeCharts/TradeCharts.module.css", "CSS", 0, 305, 0, 0, 39, 65, 409
"/Users/junioradessu/Documents/ambient-ts-app/src/pages/Trade/TradeCharts/TradeCharts.tsx", "TypeScript React", 541, 0, 0, 0, 91, 68, 700
"/Users/junioradessu/Documents/ambient-ts-app/src/pages/Trade/TradeCharts/TradeChartsLoading/FeeRateSubChart.tsx", "TypeScript React", 131, 0, 0, 0, 2, 24, 157
"/Users/junioradessu/Documents/ambient-ts-app/src/pages/Trade/TradeCharts/TradeChartsLoading/TradeChartsLoading.module.css", "CSS", 0, 101, 0, 0, 1, 8, 110
"/Users/junioradessu/Documents/ambient-ts-app/src/pages/Trade/TradeCharts/TradeChartsLoading/TradeChartsLoading.tsx", "TypeScript React", 15, 0, 0, 0, 0, 1, 16
"/Users/junioradessu/Documents/ambient-ts-app/src/pages/Trade/TradeCharts/TradeChartsLoading/TvlSubChart.tsx", "TypeScript React", 167, 0, 0, 0, 2, 30, 199
"/Users/junioradessu/Documents/ambient-ts-app/src/pages/Trade/TradeCharts/TradeChartsLoading/VolumeSubChart.tsx", "TypeScript React", 145, 0, 0, 0, 3, 25, 173
"/Users/junioradessu/Documents/ambient-ts-app/src/pages/Trade/useUrlParams.ts", "TypeScript", 0, 0, 0, 137, 37, 20, 194
"/Users/junioradessu/Documents/ambient-ts-app/src/pages/Transactions/Transaction.tsx", "TypeScript React", 17, 0, 0, 0, 10, 6, 33
"/Users/junioradessu/Documents/ambient-ts-app/src/pages/Transactions/Transactions.tsx", "TypeScript React", 73, 0, 0, 0, 0, 10, 83
"Total", "-", 6454, 1156, 43, 421, 613, 1234, 9921
