"filename", "language", "CSS", "Markdown", "TypeScript React", "TypeScript", "JSON", "XML", "JavaScript", "comment", "blank", "total"
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/functions/calculateSecondaryDepositQty.ts", "TypeScript", 0, 0, 0, 47, 0, 0, 0, 12, 9, 68
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/functions/getDexSeriesData.ts", "TypeScript", 0, 0, 0, 87, 0, 0, 0, 0, 7, 94
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/functions/getDexStats.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/functions/getUnicodeCharacter.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/functions/printDomToImage.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 7, 7, 41
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/functions/processTokens.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/functions/styles.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 12, 4, 39
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/functions/trimString.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 10, 2, 24
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/functions/uriToHttp.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 29, 8, 69
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/functions/validateTokenList.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/hooks/reduxToolkit.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 3, 3, 10
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/hooks/useCopyToClipboard.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 17, 10, 50
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/hooks/useLocalStorage.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 7, 4, 21
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/hooks/useOnClickOutside.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 6, 29
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/hooks/useProcessOrder.ts", "TypeScript", 0, 0, 0, 209, 0, 0, 0, 24, 44, 277
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/hooks/useProcessRange.ts", "TypeScript", 0, 0, 0, 121, 0, 0, 0, 12, 37, 170
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/hooks/useProcessTransaction.ts", "TypeScript", 0, 0, 0, 198, 0, 0, 0, 12, 38, 248
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/hooks/useTokenMap.ts", "TypeScript", 0, 0, 0, 67, 0, 0, 0, 7, 7, 81
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/hooks/useUrlParams.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/hooks/useWindowDimensions.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 9, 4, 37
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/index.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 7, 11, 70
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/interfaces/PoolIF.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/interfaces/PositionIF.ts", "TypeScript", 0, 0, 0, 57, 0, 0, 0, 2, 1, 60
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/interfaces/PositionPoolIF.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/interfaces/SlippageIF.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/interfaces/SlippagePairIF.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/interfaces/TokenIF.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
